"Title","PMID"
"Development of the Problematic Mobile Gaming Questionnaire and Prevalence of Mobile Gaming Addiction Among Adolescents in Taiwan.","31613156"
"Validity and Psychometric Properties of the Internet Gaming Disorder Scale in Three Large Independent Samples of Children and Adolescents.","33530635"
"Altered resting-state functional connectivity of the insula in young adults with Internet gaming disorder.","25899520"
"Evaluation of the Psychometric Properties of the Chinese Internet Gaming Disorder Checklist (C-IGDC) Among Chinese Adolescents.","34589007"
"The Effects of Need Satisfaction and Dissatisfaction on Flourishing among Young Chinese Gamers: The Mediating Role of Internet Gaming Disorder.","31717399"
"Enhanced resting-state EEG source functional connectivity within the default mode and reward-salience networks in internet gaming disorder.","35193713"
"Brain response features during forced break could predict subsequent recovery in internet gaming disorder: A longitudinal study.","30878788"
"Corrigendum to ""Prevalence and risk factors of internet gaming disorder and problematic internet use before and during the COVID-19 pandemic: A large online survey of Japanese adults"" [J. Psychiatr. Res. 142 (2021) 218-225].","35180633"
"Policy and prevention efforts for gaming should consider a broad perspective.","30111170"
"Roles of Hostility and Depression in the Association between the MAOA Gene Polymorphism and Internet Gaming Disorder.","34199135"
"Gaming behavior disorder and its association with social phobia during COVID-19 pandemic: A cross-sectional study among the young Arabs.","37113540"
"The prevalence of internet gaming disorder among medical students at King Saud University, Riyadh, Saudi Arabia. A cross-sectional study.","33294895"
"Both sides of the story: Addiction is not a pastime activity.","28662617"
"Functional impairment matters in the screening and diagnosis of gaming disorder.","28816514"
"Social support as the mediator for the relationship between internet gaming disorder and psychological problems among university students.","37385003"
"Aberrant posterior superior temporal sulcus functional connectivity and executive dysfunction in adolescents with internet gaming disorder.","32918802"
"A neural mechanism of the relationship between impulsivity and emotion dysregulation in patients with Internet gaming disorder.","32365424"
"Impaired decision-making under risk is associated with gaming-specific inhibition deficits among college students with Internet gaming disorder.","26168928"
"Disrupted prefrontal regulation of striatum-related craving in Internet gaming disorder revealed by dynamic causal modeling: results from a cue-reactivity task.","32102722"
"Psychometric properties of the Indonesian Ten-item Internet Gaming Disorder Test and a latent class analysis of gamer population among youths.","35700179"
"Internet Gaming Disorder, Risky Online Behaviour, and Mental Health in Hong Kong Adolescents: The Beneficial Role of Psychological Resilience.","34721101"
"Individual differences in implicit learning abilities and impulsive behavior in the context of Internet addiction and Internet Gaming Disorder under the consideration of gender.","29450224"
"Neurophysiological and Cognitive Correlates of Error Processing Deficits in Internet Gaming Disorder.","32377680"
"[Adaptation of Internet Gaming Disorder Questionnaire to Turkish:Reliability and Validity Study].","31487378"
"The more developmental assets, the less internet gaming disorder? Testing the cumulative effect and longitudinal mechanism during the COVID-19 pandemic.","36320560"
"Just one more level: Identifying and addressing internet gaming disorder within primary care.","27051988"
"Comparative study of the effects of bupropion and escitalopram on Internet gaming disorder.","27487975"
"A partial mediation effect of father-child attachment and self-esteem between parental marital conflict and subsequent features of internet gaming disorder in children: a 12-month follow-up study.","32293368"
"Altered brain functional networks in people with Internet gaming disorder: Evidence from resting-state fMRI.","27447451"
"The Gambling Preferences and Behaviors of a Community Sample of Australian Regular Video Game Players.","25773869"
"The criteria to diagnose internet gaming disorder from causal online gamer.","25103099"
"[The Concept and Treatment of Internet Addiction].","27703103"
"Adverse childhood experiences, dissociation, and anxious attachment style as risk factors of gaming disorder.","32467857"
"Systematic Validation of Internet Gaming Disorder Criteria Needs to Start Somewhere: A Reply to Kardefelt-Winther.","26173161"
"Reduction of symptom after a combined behavioral intervention for reward sensitivity and rash impulsiveness in internet gaming disorder: A comparative study.","35816975"
"Functional neural changes and altered cortical-subcortical connectivity associated with recovery from Internet gaming disorder.","31891311"
"Testing the Predictive Validity and Construct of Pathological Video Game Use.","26694472"
"Frontostriatal circuits, resting state functional connectivity and cognitive control in internet gaming disorder.","26769234"
"Altered effective connectivity from the pregenual anterior cingulate cortex to the laterobasal amygdala mediates the relationship between internet gaming disorder and loneliness.","32684185"
"Risk-taking and risky decision-making in Internet gaming disorder: Implications regarding online gaming in the setting of negative consequences.","26656573"
"Corrigendum: Altered Structural Correlates of Impulsivity in Adolescents with Internet Gaming Disorder.","31024279"
"Abnormal prefrontal cortex resting state functional connectivity and severity of internet gaming disorder.","26311395"
"Correction to: Internet gaming disorder: deficits in functional and structural connectivity in the ventral tegmental area-Accumbens pathway.","30397848"
"It Is the Family Context That Matters: Concurrent and Predictive Effects of Aspects of Parent-Child Interaction on Video Gaming-Related Problems.","29792518"
"Cross-Cultural Efficacy of the Acceptance and Cognitive Restructuring Intervention Program (ACRIP) on the Internet Gaming Disorder Symptoms of Selected Asian Adolescents.","37361515"
"Automatic Processing Advantage of Cartoon Face in Internet Gaming Disorder: Evidence From P100, N170, P200, and MMN.","31780973"
"Altered Structural Correlates of Impulsivity in Adolescents with Internet Gaming Disorder.","26858620"
"Clarification of the Cut-off Score for Nine-Item Internet Gaming Disorder Scale-Short Form (IGDS9-SF) in a Chinese Context.","32528331"
"The trajectories and associations of insomnia symptoms with addictive behaviours in adolescents: A two-year longitudinal study.","36690596"
"Assessing the diagnostic contribution of internet gaming disorder criteria requires improved content, construct and face validity-a response to Rehbein and colleagues (2015).","26173160"
"The imperative of integrating empirical and theoretical considerations when developing policy responses to Internet-gaming disorder.","30010407"
"Resting-state functional connectivity within orbitofrontal cortex and inferior frontal gyrus modulates the relationship between reflection level and risk-taking behavior in internet gaming disorder.","34728230"
"Evaluating the Psychometric Properties of the 7-Item Persian Game Addiction Scale for Iranian Adolescents.","30804841"
"Correction: Excessive Smartphone Use and Self-Esteem Among Adults With Internet Gaming Disorder: Quantitative Survey Study.","33141680"
"Enhanced resting-state EEG source functional connectivity within the default mode and reward-salience networks in Internet gaming disorder - CORRIGENDUM.","35543161"
"An association study of Taq1A ANKK1 and C957T and - 141C DRD2 polymorphisms in adults with internet gaming disorder: a pilot study.","29234453"
"What matters is when you play: Investigating the relationship between online video games addiction and time spent playing over specific day phases.","30505925"
"School assets and bullying in Chinese youth: A multiple mediation model of intentional self-regulation and internet gaming disorder.","35967561"
"Frequency-dependent changes in the amplitude of low-frequency fluctuations in internet gaming disorder.","26441815"
"Purpose in life, social support, and internet gaming disorder among Chinese university students: A 1-year follow-up study.","31430620"
"Uncovering sample heterogeneity in gaming and social withdrawal behaviors in adolescent and young adult gamers in Hong Kong.","36796169"
"Psychiatric comorbidities and emotional intelligence in internet gaming disorder: Attention deficit hyperactivity disorder, major depressive disorder, generalized anxiety disorder, and social anxiety disorder.","34370356"
"Evaluating U.S. gamers' metacognitions about digital entertainment: Validation of Metacognition about Online Gaming Scale in the U.S. context.","34706468"
"Reduced fiber integrity and cognitive control in adolescents with internet gaming disorder.","25171806"
"The influence of depressive symptoms and fear of missing out on severity of problematic smartphone use and Internet gaming disorder among Chinese young adults: A three-wave mediation model.","32977268"
"The interplay among stress, frustration tolerance, mindfulness, and social support in Internet gaming disorder symptoms among Chinese working adults.","29797779"
"Differences in resting-state functional connectivity according to the level of impulsiveness in patients with internet gaming disorder.","33625381"
"Diffusion tensor imaging of the structural integrity of white matter correlates with impulsivity in adolescents with internet gaming disorder.","28828214"
"Requirements of a Group Intervention for Adolescents with Internet Gaming Disorder in a Clinical Setting: A Qualitative Interview Study.","34360106"
"Brain structural alterations in internet gaming disorder: Focus on the mesocorticolimbic dopaminergic system.","37271367"
"Association of General Cognitive Functions with Gaming Use in Young Adults: A Comparison among Excessive Gamers, Regular Gamers and Non-Gamers.","34070386"
"Is preoccupation an oversimplification? A call to examine cognitive factors underlying internet gaming disorder.","24735375"
"Corrigendum to ""The psychometric properties of the Chinese version internet gaming disorder scale"" [Addictive Behaviors 106 (2020) 106392].","33069484"
"Parent-Adolescent Conflict, Peer Victimization, and Internet Gaming Disorder Among Chinese Adolescents: The Moderating Effect of OXTR Gene rs53576 Polymorphism.","36930441"
"The impacts of academic stress on college students' problematic smartphone use and Internet gaming disorder under the background of neijuan: Hierarchical regressions with mediational analysis on escape and coping motives.","36683982"
"Longitudinal Changes in Neural Connectivity in Patients With Internet Gaming Disorder: A Resting-State EEG Coherence Study.","29930524"
"Psychometric evaluation of the adolescent and parent versions of the Gaming Addiction Identification Test (GAIT).","26440139"
"The Structured Clinical Interview for DSM-5 Internet Gaming Disorder: Development and Validation for Diagnosing IGD in Adolescents.","28096871"
"Stepping back to advance: Why IGD needs an intensified debate instead of a consensus.","28301967"
"Phenomenological analysis of maladaptive daydreaming associated with internet gaming addiction: a case report.","33782659"
"Internet Gaming Disorders and Early Onset Psychosis in Young People: A Case Study and Clinical Observations.","36900931"
"Correction: Event-related brain response to visual cues in individuals with Internet gaming disorder: relevance to attentional bias and decision-making.","34039948"
"Thinking more broadly about policy responses to problematic video game use: A response to Király et al. (2018).","30010406"
"The Influence of Parental Knowledge and Basic Psychological Needs Satisfaction on Peer Victimization and Internet Gaming Disorder among Chinese Adolescents: A Mediated Moderation Model.","33804528"
"Corrigendum: Decreased modulation by the risk level on the brain activation during decision making in adolescents with internet gaming disorder.","31024273"
"The Association between Parental Psychological Control, Deviant Peer Affiliation, and Internet Gaming Disorder among Chinese Adolescents: A Two-Year Longitudinal Study.","33171961"
"Neurophysiological Mechanisms of Resilience as a Protective Factor in Patients with Internet Gaming Disorder: A Resting-State EEG Coherence Study.","30621356"
"Open Scientific Practices Are the Way Forward for Internet Gaming Disorder Research: Response to Yao et al.","28457147"
"Altered gray matter density and disrupted functional connectivity of the amygdala in adults with Internet gaming disorder.","25448779"
"Dysfunctional Prefrontal Function Is Associated with Impulsivity in People with Internet Gaming Disorder during a Delay Discounting Task.","29326612"
"Correction to: Attenuated self-serving bias in people with internet gaming disorder is related to altered neural activity in subcortical-cortical midline structures.","33203409"
"Corrigendum to ""Depression, anxiety, and stress mediate the associations between internet gaming disorder, insomnia, and quality of life during the COVID-19 outbreak"" [Addict. Behav. Rep. 12 (2020) 100307].","33364329"
"Exposure to Community Violence, Affiliations With Risk-Taking Peer Groups, and Internet Gaming Disorder Among Chinese Adolescents: The Moderating Role of Parental Monitoring.","31616334"
"Refining Measures for Assessing Problematic/Addictive Digital Gaming Use in Clinical and Research Settings.","26274977"
"The relationship between parental neglect and cyberbullying perpetration among Chinese adolescent: The sequential role of cyberbullying victimization and internet gaming disorder.","37033014"
"Decreased modulation by the risk level on the brain activation during decision making in adolescents with internet gaming disorder.","26578922"
"How Digital Technology Mediated the Effects of the COVID-19 Pandemic on Mental Health: The Good, the Bad, and the Indifferent.","34713202"
"Dysfunctional default mode network and executive control network in people with Internet gaming disorder: Independent component analysis under a probability discounting task.","26928344"
"Ambiguities in existing Iranian national policies addressing excessive gaming.","30022677"
"Commentary on Scharkow et al. (2014): Welcomed and yet to come. Are we looking at what we are looking for?","25297961"
"Network analyses of internet gaming disorder symptoms and their links with different types of motivation.","35101004"
"Relationship between Resting-State Alpha Coherence and Cognitive Control in Individuals with Internet Gaming Disorder: A Multimodal Approach Based on Resting-State Electroencephalography and Event-Related Potentials.","34942937"
"Influence of abstinence on automatic detection bias to gaming cues in individuals with Internet gaming disorder: Evidence from visual mismatch negativity.","34817871"
"Psychometric validation of the desire thinking questionnaire in a Turkish adolescent sample: Associations with internet gaming disorder.","34649063"
"A systematic review of metacognitions in Internet Gaming Disorder and problematic Internet, smartphone and social networking sites use.","33783920"
"Social anxiety and Internet gaming disorder: The role of motives and metacognitions.","32750032"
"Altered core networks of brain connectivity and personality traits in internet gaming disorder.","32592635"
"Comparison of Behavioral Changes and Brain Activity between Adolescents with Internet Gaming Disorder and Student Pro-Gamers.","31936471"
"Korean Validation of the Internet Gaming Disorder-20 Test.","30848666"
"Bio-psychosocial factors of children and adolescents with internet gaming disorder: a systematic review.","30809270"
"Altered Eye-Movement Patterns During Text Reading in Obsessive-Compulsive Disorder and Internet Gaming Disorder.","30405372"
"Increased Insular Cortical Thickness Associated With Symptom Severity in Male Youths With Internet Gaming Disorder: A Surface-Based Morphometric Study.","29666588"
"Altered Brain Activities Associated with Craving and Cue Reactivity in People with Internet Gaming Disorder: Evidence from the Comparison with Recreational Internet Game Users.","28744240"
"Validation of the Internet Gaming Disorder Questionnaire in a Sample of Adult German-Speaking Internet Gamers.","27428033"
"Characteristics and Psychiatric Symptoms of Internet Gaming Disorder among Adults Using Self-Reported DSM-5 Criteria.","26766947"
"Activation of the ventral and dorsal striatum during cue reactivity in Internet gaming disorder.","26732520"
"Prefrontal cortical activation in Internet Gaming Disorder Scale high scorers during actual real-time internet gaming: A preliminary study using fNIRS.","35394923"
"Persistent dependent behaviour is accompanied by dynamic switching between the ventral and dorsal striatal connections in internet gaming disorder.","33957705"
"Enhanced neural responses in specific phases of reward processing in individuals with Internet gaming disorder.","33570505"
"Gender-related functional connectivity and craving during gaming and immediate abstinence during a mandatory break: Implications for development and progression of internet gaming disorder.","29684536"
"Abnormal gray matter volume and impulsivity in young adults with Internet gaming disorder.","28884950"
"Difference in the functional connectivity of the dorsolateral prefrontal cortex between smokers with nicotine dependence and individuals with internet gaming disorder.","28750618"
"Cognitive control and reward/loss processing in Internet gaming disorder: Results from a comparison with recreational Internet game-users.","28545006"
"Problem Internet Use and Internet Gaming Disorder: a survey of health literacy among psychiatrists from Australia and New Zealand.","28092969"
"The prefrontal dysfunction in individuals with Internet gaming disorder: a meta-analysis of functional magnetic resonance imaging studies.","24889021"
"Gender-related differences in cue-elicited cravings in Internet gaming disorder: The effects of deprivation.","30556781"
"Internet gaming disorder and online gambling disorder: Clinical and personality correlates.","29280393"
"Group independent component analysis reveals alternation of right executive control network in Internet gaming disorder.","28847333"
"Using two web-based addiction Stroops to measure the attentional bias in adults with Internet Gaming Disorder.","27776420"
"Compulsive Buying Behavior: Clinical Comparison with Other Behavioral Addictions.","27378999"
"Analysis of Biosignals During Immersion in Computer Games.","29159698"
"Gamers' and non-gamers' perspectives on the development of problematic video game play.","36776145"
"Prospective Association Between Online Game Use and Risk of Internet Gaming Disorder in Korea: 12-Month Follow-up Results From the iCURE Study.","35285284"
"Factors associated with severity, incidence or persistence of internet gaming disorder in children and adolescents: a 2-year longitudinal study.","33283397"
"Social Context and Gaming Motives Predict Mental Health Better Than Time Played: An Exploratory Regression Analysis with over 13,000 Video Game Players.","32907385"
"Escapism-Based Motivation Affected the Psychological Performances of High-Risk Internet Gaming Disorder Individuals.","35360144"
"Video Game Addiction and Emotional States: Possible Confusion Between Pleasure and Happiness?","32047450"
"The role of repetitive transcranial magnetic stimulation (rTMS) in the treatment of behavioral addictions: Two case reports and review of the literature.","34232905"
"Gender-related differences in frontal-parietal modular segregation and altered effective connectivity in internet gaming disorder.","33704084"
"Altered functional network activities for behavioral adjustments and Bayesian learning in young men with Internet gaming disorder.","33704083"
"Depressive symptoms and depression in individuals with internet gaming disorder: A systematic review and meta-analysis.","33592432"
"Internet Gaming Disorder Increases Mind-Wandering in Young Adults.","33584453"
"Internet gaming as a coping method among schizophrenic patients facing psychological distress.","33128519"
"More stringent criteria are needed for diagnosing internet gaming disorder: Evidence from regional brain features and whole-brain functional connectivity multivariate pattern analyses.","33031057"
"The Predictive Value of Emotional Intelligence for Internet Gaming Disorder: A 1-Year Longitudinal Study.","31382434"
"Comparison of brain connectivity between Internet gambling disorder and Internet gaming disorder: A preliminary study.","29039224"
"The topological organization of white matter network in internet gaming disorder individuals.","27815774"
"Internet gaming disorder, social network disorder and laterality: handedness relates to pathological use of social networks.","25576300"
"Psychometric properties and measurement invariance of the 7-item game addiction scale (GAS) among Chinese college students.","33008339"
"The Correlation between the Frontostriatal Network and Impulsivity in Internet Gaming Disorder.","30718701"
"Clinical predictors of gaming abstinence in help-seeking adult problematic gamers.","29407726"
"Is internet gaming disorder associated with suicidal behaviors among the younger generation? Multiple logistic regressions on a large-scale purposive sampling survey.","36889223"
"Altered neural responses to missed chance contribute to the risk-taking behaviour in individuals with Internet gaming disorder.","34894025"
"Altered modular segregation of brain networks during the cue-craving task contributes to the disrupted executive functions in internet gaming disorder.","33503493"
"Blunted reward prediction error signals in internet gaming disorder.","33143778"
"Serial multiple mediation of the association between internet gaming disorder and suicidal ideation by insomnia and depression in adolescents in Shanghai, China.","32967648"
"The role of the insula in internet gaming disorder.","32147952"
"Development and psychometric validation of Internet Gaming Disorder Scale-Short-Form (IGDS9-SF) in a Brazilian sample.","31887719"
"Alterations in functional networks during cue-reactivity in Internet gaming disorder.","31146550"
"Ten-Item Internet Gaming Disorder Test (IGDT-10): Measurement invariance and cross-cultural validation across seven language-based samples.","30589307"
"Mapping Internet gaming disorder using effective connectivity: A spectral dynamic causal modeling study.","30366150"
"Alterations of Resting-State Static and Dynamic Functional Connectivity of the Dorsolateral Prefrontal Cortex in Subjects with Internet Gaming Disorder.","29467640"
"Prevalence and associated factors of Internet gaming disorder among community dwelling adults in Macao, China.","29463097"
"Established risk factors for addiction fail to discriminate between healthy gamers and gamers endorsing DSM-5 Internet gaming disorder.","29130328"
"Altered coupling of default-mode, executive-control and salience networks in Internet gaming disorder.","28756109"
"The influence of game genre on Internet gaming disorder.","28658960"
"Cross-sectional and longitudinal epidemiological studies of Internet gaming disorder: A systematic review of the literature.","28436212"
"Portuguese Validation of the Internet Gaming Disorder Scale-Short-Form.","26974853"
"Inattention and Disordered Gaming: Does Culture Matter?","31900821"
"The role of executive function deficits, delay aversion and emotion dysregulation in internet gaming disorder and social media disorder: Links to psychosocial outcomes.","36947461"
"Sex differences in neural substrates of risk taking: Implications for sex-specific vulnerabilities to internet gaming disorder.","36053718"
"Polish Validation of the Internet Gaming Disorder-20 (IGD-20) Test.","35472227"
"Depression, anxiety, and stress mediate the associations between internet gaming disorder, insomnia, and quality of life during the COVID-19 outbreak.","33110934"
"A clinical evaluation of the DSM-5 criteria for Internet Gaming Disorder and a pilot study on their applicability to further Internet-related disorders.","30663331"
"Detection of Craving for Gaming in Adolescents with Internet Gaming Disorder Using Multimodal Biosignals.","29301261"
"Addiction severity modulates the precuneus involvement in internet gaming disorder: Functionality, morphology and effective connectivity.","31790725"
"Metacognitive beliefs and anxiety symptoms could serve as mediators between fear of missing out and gaming disorder in adolescents.","37336094"
"Association between relationship adaptation and Internet gaming disorder among first-year secondary school students in China: Mediation effects via social support and loneliness.","34782208"
"EEG response to game-craving according to personal preference for games.","33064824"
"Psychometric properties of the Internet Gaming Disorder Test (IGDT-10) and problematic gaming behavior among Finnish vocational school students.","30907002"
"Multiple-Kernel Support Vector Machine for Predicting Internet Gaming Disorder Using Multimodal Fusion of PET, EEG, and Clinical Features.","35844227"
"A Literature Review on the Efficacy and Related Neural Effects of Pharmacological and Psychosocial Treatments in Individuals With Internet Gaming Disorder.","34872237"
"Neural substrates of deficient cognitive control in individuals with severe internet gaming disorder.","34583150"
"Associations Between Attention Deficit/Hyperactivity Disorder and Internet Gaming Disorder Symptoms Mediated by Depressive Symptoms and Hopelessness Among College Students.","34465993"
"Self-Reported and Parental Assessments of Internet Gaming Disorder, and Their Accordance with DSM-5 Criteria in a Clinical Relevant Population.","33185479"
"The functional connectivity between the prefrontal cortex and supplementary motor area moderates the relationship between internet gaming disorder and loneliness.","33137406"
"Resting-state connectome-based support-vector-machine predictive modeling of internet gaming disorder.","33047425"
"Should Internet gaming disorder be considered a subtype of generalized problematic internet use? Findings from a study among medical college students.","32557655"
"Dysfunctional attentional bias and inhibitory control during anti-saccade task in patients with internet gaming disorder: An eye tracking study.","31351161"
"Maladaptive neurovisceral interactions in patients with Internet gaming disorder: A study of heart rate variability and functional neural connectivity using the graph theory approach.","31297935"
"Internet gaming disorder: deficits in functional and structural connectivity in the ventral tegmental area-Accumbens pathway.","30054871"
"Internet gaming disorder in children and adolescents: a systematic review.","29633243"
"Circulating MicroRNA Expression Levels Associated With Internet Gaming Disorder.","29593587"
"Therapeutic mechanisms of Mindfulness-Oriented Recovery Enhancement for internet gaming disorder: Reducing craving and addictive behavior by targeting cognitive processes.","29565776"
"Effects of outcome on the covariance between risk level and brain activity in adolescents with internet gaming disorder.","27857886"
"Targeted exome sequencing for the identification of a protective variant against Internet gaming disorder at rs2229910 of neurotrophic tyrosine kinase receptor, type 3 (NTRK3): A pilot study.","27826991"
"Free-to-play: About addicted Whales, at risk Dolphins and healthy Minnows. Monetarization design and Internet Gaming Disorder.","27178749"
"The withdrawal-related affective, gaming urge, and anhedonia symptoms of internet gaming disorder during abstinence.","35338772"
"The association between aggression and risk of Internet gaming disorder in Korean adolescents: the mediation effect of father-adolescent communication style.","30089352"
"Expert appraisal of criteria for assessing gaming disorder: an international Delphi study.","33449441"
"Longitudinal association between parental involvement and internet gaming disorder among Chinese adolescents: Consideration of future consequences as a mediator and peer victimization as a moderator.","35994364"
"Predictive power of the DSM-5 criteria for internet use disorder: A CHAID decision-tree analysis.","36910812"
"Treatment efficacy of a specialized psychotherapy program for Internet Gaming Disorder.","30427213"
"Modelling the Contribution of Metacognitions, Impulsiveness, and Thought Suppression to Behavioural Addictions in Adolescents.","33917425"
"Problematic game play: the diagnostic value of playing motives, passion, and playing time in men.","25942516"
"Impaired risk evaluation in people with Internet gaming disorder: fMRI evidence from a probability discounting task.","25218095"
"Parental Factors Associated With Internet Gaming Disorder Among First-Year High School Students: Longitudinal Study.","36346660"
"Positive youth development attributes and cyberbullying victimization among Chinese middle school students: A longitudinal moderated mediation model involving internet gaming disorder and depression.","37390070"
"Internet Gaming Disorder in Children and Adolescents.","29093038"
"Dorsal and ventral striatal functional connectivity shifts play a potential role in internet gaming disorder.","34262129"
"Structural alterations in the prefrontal cortex mediate the relationship between Internet gaming disorder and depressed mood.","28455501"
"Decreased functional connectivity of insula-based network in young adults with internet gaming disorder.","27119360"
"[Relationships between family interactions and pathological internet use in adolescents: an review].","25536892"
"Measuring addiction to internet gaming among Indian medical students: Development and preliminary psychometric properties of a new scale.","33776273"
"Internet gaming disorder, psychological distress, and insomnia in adolescent students and their siblings: An actor-partner interdependence model approach.","33437860"
"Craving behavioral intervention for internet gaming disorder: remediation of functional connectivity of the ventral striatum.","27894158"
"Resting-state regional homogeneity as a biological marker for patients with Internet gaming disorder: A comparison with patients with alcohol use disorder and healthy controls.","25689820"
"Video gaming and gaming addiction in transgender people: An exploratory study.","28198637"
"Stigmatizing attitudes toward Internet gaming disorder, Problematic smartphone use and Problematic social networking site use: An experimental vignette study.","36805817"
"Neuromodulatory Effect of Transcranial Direct Current Stimulation on Resting-State EEG Activity in Internet Gaming Disorder: A Randomized, Double-Blind, Sham-Controlled Parallel Group Trial.","34296150"
"PET Hypometabolism of the Prefrontal-Cingulate Cortices in Internet Gaming Disorder.","33519539"
"Convergent cross-sectional and longitudinal evidence for gaming-cue specific posterior parietal dysregulations in early stages of internet gaming disorder.","32602162"
"Associations between attention deficit hyperactivity and internet gaming disorder symptoms: Is there consistency across types of symptoms, gender and countries?","30671530"
"Females are more vulnerable to Internet gaming disorder than males: Evidence from cortical thickness abnormalities.","30448109"
"An Update Overview on Brain Imaging Studies of Internet Gaming Disorder.","29033857"
"Compensatory increase of functional connectivity density in adolescents with internet gaming disorder.","27975158"
"High-Risk Gaming Is Associated with Frequent Substance Use: An Exploratory Survey among Young Adults.","37276845"
"Resting-state heart rate variability, level of stress and resilience in internet gaming disorder and alcohol use disorder.","37205906"
"Exploring the associated characteristics of Internet gaming disorder from the perspective of various game genres.","36713922"
"Deficient dynamics of prefrontal-striatal and striatal-default mode network (DMN) neural circuits in internet gaming disorder.","36435399"
"Predicting the severity of internet gaming disorder with resting-state brain features: A multi-voxel pattern analysis.","36031000"
"Gender-related differences in involvement of addiction brain networks in internet gaming disorder: Relationships with craving and emotional regulation.","35569619"
"The role of illness representations of internet gaming disorder (IGD) in help-seeking intention among undergraduates: A longitudinal study.","35030454"
"Internet Gaming Disorder in Children and Associated Factors and Parents' Opinions.","34537794"
"Low self-control and aggression exert serial mediation between inattention/hyperactivity problems and severity of internet gaming disorder features longitudinally among adolescents.","32634112"
"The co-occurrence between symptoms of internet gaming disorder and psychiatric disorders in childhood and adolescence: prospective relations or common causes?","32623728"
"Meta-analyses of the functional neural alterations in subjects with Internet gaming disorder: Similarities and differences across different paradigms.","31145927"
"Striatum morphometry is associated with cognitive control deficits and symptom severity in internet gaming disorder.","25720356"
"Core brain networks interactions and cognitive control in internet gaming disorder individuals in late adolescence/early adulthood.","25573247"
"Maladaptive cognitions, loneliness, and social anxiety as potential moderators of the association between Internet gaming time and Internet gaming disorder among adolescent Internet gamers in China.","35092885"
"Proposing and Validating the Diagnosis Scale for Internet Gaming Disorder in Taiwanese ADHD Adolescents: Likert Scale Method Based on the DSM-5.","33557435"
"The imbalance between goal-directed and habitual systems in internet gaming disorder: Results from the disturbed thalamocortical communications.","33383495"
"Diminished cognitive control in Internet gaming disorder: A multimodal approach with magnetic resonance imaging and real-time heart rate variability.","33031858"
"Reciprocal relationship between depression and Internet gaming disorder in children: A 12-month follow-up of the iCURE study using cross-lagged path analysis.","32359239"
"The Clinical Utility of the Chen Internet Addiction Scale-Gaming Version, for Internet Gaming Disorder in the DSM-5 among Young Adults.","31661785"
"Neural Correlates of Distorted Self-concept in Individuals With Internet Gaming Disorder: A Functional MRI Study.","30090074"
"Symptoms of Internet Gaming Disorder in Youth: Predictors and Comorbidity.","29623484"
"Functional characteristics of the brain in college students with internet gaming disorder.","25763841"
"Association between the Internet Gaming Disorder and Anxiety and Depression among University Students during COVID-19 Pandemic.","37107937"
"Disordered gaming in esports: Comparing professional and non-professional gamers.","35584554"
"Psychometric properties and development of the Chinese versions of Gaming Disorder Test (GDT) and Gaming Disorder Scale for Adolescents (GADIS-A).","37285663"
"Symptoms of Internet Gaming Disorder, Inattention, and Impulsivity: a Cross-Sectional Study Conducted in the United Arab Emirates.","32642820"
"Estimated Prevalence of Unreported IGD Cases in Routine Outpatient Children and Adolescent Psychotherapy.","34202676"
"Psychometric Validation of the Spanish Gaming Disorder Test (GDT): Item Response Theory and Measurement Invariance Analysis.","34899099"
"Problematic Gaming in Malaysian University Students: Translation and Psychometric Evaluation of the Malay Language Versions of Gaming Disorder Test and Gaming Disorder Scale for Young Adults.","37365830"
"Is the proposed distinction of gaming disorder into a predominantly online vs. offline form meaningful? Empirical evidence from a large German speaking gamer sample.","34938849"
"Do gaming disorder and hazardous gaming belong in the ICD-11? Considerations regarding the death of a hospitalized patient that was reported to have occurred while a care provider was gaming.","29788753"
"Reduced loss aversion in value-based decision-making and edge-centric functional connectivity in patients with internet gaming disorder.","37209127"
"Alexithymia and internet gaming disorder in the light of depression: A cross-sectional clinical study.","35939974"
"The unbalanced behavioral activation and inhibition system sensitivity in internet gaming disorder: Evidence from resting-state Granger causal connectivity analysis.","35661790"
"Effects of retrieval-extinction training on internet gaming disorder.","35316208"
"Classification of Gamers Using Multiple Physiological Signals: Distinguishing Features of Internet Gaming Disorder.","34630223"
"Prevalence of Behavioral Addictions and Their Relationship With Stress and Anxiety Among Medical Students in Saudi Arabia: A Cross-Sectional Study.","34484009"
"Depression and anxiety symptoms associated with internet gaming disorder before and during the COVID-19 pandemic: A longitudinal study.","33704085"
"Identification of internet gaming disorder individuals based on ventral tegmental area resting-state functional connectivity.","33037577"
"Measurement invariance across young adults from Hong Kong and Taiwan among three internet-related addiction scales: Bergen Social Media Addiction Scale (BSMAS), Smartphone Application-Based Addiction Scale (SABAS), and Internet Gaming Disorder Scale-Short Form (IGDS-SF9) (Study Part A).","31078344"
"A cohort study of patients seeking Internet gaming disorder treatment.","30418074"
"Bupropion Shows Different Effects on Brain Functional Connectivity in Patients With Internet-Based Gambling Disorder and Internet Gaming Disorder.","29692743"
"Risk Factors for Internet Gaming Disorder: Psychological Factors and Internet Gaming Characteristics.","29280953"
"Internet-Related Instruments (Bergen Social Media Addiction Scale, Smartphone Application-Based Addiction Scale, Internet Gaming Disorder Scale-Short Form, and Nomophobia Questionnaire) and Their Associations with Distress among Malaysian University Students.","36011105"
